id,study_id,contrast_id,Author,Year,Citation,# Foci,Contrast Name,sample_sizes
1.0-2.0,1.0,2.0,Bahlmann,2008.0,"Bahlmann, J., Schubotz, R. I., & Friederici, A. D. (2008). Hierarchical artificial grammar processing engages Broca’s area. NeuroImage, 42(2), 525–534. https://doi.org/10.1016/j.neuroimage.2008.04.249",9,ungrammatical > grammatical,14.0
10.0-2.0,10.0,2.0,Karuza,2013.0,"Karuza, E. A., Newport, E. L., Aslin, R. N., Starling, S. J., Tivarus, M. E., & Bavelier, D. (2013). The neural correlates of statistical learning in a word segmentation task: An fMRI study. Brain and Language, 127(1), 46–54. https://doi.org/10.1016/j.bandl.2012.11.007",2,Listening to (nonsegmentable) backwards speech > Listening to (segmentable) forward speech,25.0
13.0-1.0,13.0,1.0,McNealy,2006.0,"McNealy, K., Mazziotta, J. C., & Dapretto, M. (2006). Cracking the language code: Neural mechanisms underlying speech parsing. The Journal of Neuroscience: The Official Journal of the Society for Neuroscience, 26(29), 7629–7639. https://doi.org/10.1523/JNEUROSCI.5501-05.2006",20,[listening to random syllable stream] > [listening to trisyllabic AL words],27.0
18.0-1.0,18.0,1.0,Ordin,2020.0,"Ordin, M., Polyanskaya, L., & Soto, D. (2020). Neural bases of learning and recognition of statistical regularities. Annals of the New York Academy of Sciences. https://doi.org/10.1111/nyas.14299",3,Structured < Random,24.0
19.0-2.0,19.0,2.0,Petersson,2004.0,"Petersson, K. M., Forkstam, C., & Ingvar, M. (2004). Artificial syntactic violations activate Broca’s region. Cognitive Science, 28(3), 383–407. https://doi.org/10.1207/s15516709cog2803_4",6,[ungrammatical > grammatical],12.0
2.0-1.0,2.0,1.0,Conway,2020.0,"Conway, C. M., Eghbalzad, L., Deocampo, J. A., Smith, G. N. L., Na, S., & King, T. Z. (2020). Distinct neural networks for detecting violations of adjacent versus nonadjacent sequential dependencies: An fMRI study. Annals of the New York Academy of Sciences, 169, 107175. https://doi.org/10.1016/j.nlm.2020.107175",2,AU > AG,21.0
2.0-3.0,2.0,3.0,Conway,2020.0,"Conway, C. M., Eghbalzad, L., Deocampo, J. A., Smith, G. N. L., Na, S., & King, T. Z. (2020). Distinct neural networks for detecting violations of adjacent versus nonadjacent sequential dependencies: An fMRI study. Annals of the New York Academy of Sciences, 169, 107175. https://doi.org/10.1016/j.nlm.2020.107175",1,NU > NG,21.0
22.0-4.0,22.0,4.0,Tettamanti,2002.0,"Tettamanti, M., Alkadhi, H., Moro, A., Perani, D., Kollias, S., & Weniger, D. (2002). Neural Correlates for the Acquisition of Natural Language Syntax. NeuroImage, 17(2), 700–709. https://doi.org/10.1006/nimg.2002.1201",2,[reading sentences with new syntactic rule that does not follow UG] > [reading sentences with new syntactic rule following UG],14.0
23.0-1.0,23.0,1.0,Thiel,2003.0,"Thiel, C. M., Shanks, D. R., Henson, R. N. A., & Dolan, R. J. (2003). Neuronal correlates of familiarity-driven decisions in artificial grammar learning. NeuroReport: For Rapid Communication of Neuroscience Research, 14(1), 131–136. https://doi.org/10.1097/00001756-200301200-00024",2,"Main effect of type, driven by NEW > OLD activation; where, NEW strings used an untrained pseudofont and OLD strings were presented in training.",16.0
26.0-1.0,26.0,1.0,Wilson,2015.0,"Wilson, B., Kikuchi, Y., Sun, L., Hunter, D., Dick, F., Smith, K., Thiele, A., Griffiths, T. D., Marslen-Wilson, W. D., & Petkov, C. I. (2015). Auditory sequence processing reveals evolutionarily conserved regions of frontal cortex in macaques and humans. Nature Communications, 6, 8901. https://doi.org/10.1038/ncomms9901",7,Violation vs Consistent (V > C),12.0
28.0-2.0,28.0,2.0,Yusa,2011.0,"Yusa, N., Koizumi, M., Kim, J., Kimura, N., Uchida, S., Yokoyama, S., Miura, N., Kawashima, R., & Hagiwara, H. (2011). Second-language Instinct and Instruction Effects: Nature and Nurture in Second-language Acquisition. Journal of Cognitive Neuroscience, 23(10), 2716–2730. https://doi.org/10.1162/jocn.2011.21607",10,[Test 2 (ungrammatical inversion > fixation)] > [Test 1 (ungrammatical inversion > fixation)],17.0
5.0-1.0,5.0,1.0,Folia,2014.0,"Folia, V., & Petersson, K. M. (2014). Implicit structured sequence learning: An fMRI study of the structural mere-exposure effect. Frontiers in Psychology, 5, 41. https://doi.org/10.3389/fpsyg.2014.00041",22,Preference classification NG > G,32.0
5.0-2.0,5.0,2.0,Folia,2014.0,"Folia, V., & Petersson, K. M. (2014). Implicit structured sequence learning: An fMRI study of the structural mere-exposure effect. Frontiers in Psychology, 5, 41. https://doi.org/10.3389/fpsyg.2014.00041",16,NG > G x Day 5 > Day 1,32.0
7.0-17.0,7.0,17.0,Forkstam,2006.0,"Forkstam, C., Hagoort, P., Fernandez, G., Ingvar, M., & Petersson, K. M. (2006). Neural correlates of artificial syntactic structure classification. NeuroImage, 32(2), 956–967. https://doi.org/10.1016/j.neuroimage.2006.03.057",16,Day 1 only: [ungrammatical > grammatical] balanced for chunk strength,12.0
7.0-19.0,7.0,19.0,Forkstam,2006.0,"Forkstam, C., Hagoort, P., Fernandez, G., Ingvar, M., & Petersson, K. M. (2006). Neural correlates of artificial syntactic structure classification. NeuroImage, 32(2), 956–967. https://doi.org/10.1016/j.neuroimage.2006.03.057",15,Day 8 only: [ungrammatical > grammatical] balanced for chunk strength,12.0
7.0-2.0,7.0,2.0,Forkstam,2006.0,"Forkstam, C., Hagoort, P., Fernandez, G., Ingvar, M., & Petersson, K. M. (2006). Neural correlates of artificial syntactic structure classification. NeuroImage, 32(2), 956–967. https://doi.org/10.1016/j.neuroimage.2006.03.057",6,[ungrammatical] > [grammatical] on day 1,12.0
7.0-3.0,7.0,3.0,Forkstam,2006.0,"Forkstam, C., Hagoort, P., Fernandez, G., Ingvar, M., & Petersson, K. M. (2006). Neural correlates of artificial syntactic structure classification. NeuroImage, 32(2), 956–967. https://doi.org/10.1016/j.neuroimage.2006.03.057",7,[ungrammatical] > [grammatical] on day 8,12.0
